================================================================================
WORD                      GOLD       PREDICTED  STATUS    
================================================================================
The                       DT         DT         ✓         
economy                   NN         NN         ✓         
's                        POS        POS        ✓         
temperature               NN         NN         ✓         
will                      MD         MD         ✓         
be                        VB         VB         ✓         
taken                     VBN        VBN        ✓         
from                      IN         IN         ✓         
several                   JJ         JJ         ✓         
vantage                   NN         NN         ✓         
points                    NNS        NNS        ✓         
this                      DT         DT         ✓         
week                      NN         NN         ✓         
,                         ,          ,          ✓         
with                      IN         IN         ✓         
readings                  NNS        NNS        ✓         
on                        IN         IN         ✓         
trade                     NN         NN         ✓         
,                         ,          ,          ✓         
output                    NN         NN         ✓         
,                         ,          ,          ✓         
housing                   NN         NN         ✓         
and                       CC         CC         ✓         
inflation                 NN         NN         ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
most                      RBS        RBS        ✓         
troublesome               JJ         JJ         ✓         
report                    NN         NN         ✓         
may                       MD         MD         ✓         
be                        VB         VB         ✓         
the                       DT         DT         ✓         
August                    NNP        NNP        ✓         
merchandise               NN         NN         ✓         
trade                     NN         NN         ✓         
deficit                   NN         NN         ✓         
due                       JJ         JJ         ✓         
out                       IN         IN         ✓         
tomorrow                  NN         NN         ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
trade                     NN         NN         ✓         
gap                       NN         NN         ✓         
is                        VBZ        VBZ        ✓         
expected                  VBN        VBN        ✓         
to                        TO         TO         ✓         
widen                     VB         VB         ✓         
to                        TO         TO         ✓         
about                     IN         IN         ✓         
$                         $          $          ✓         
9                         CD         CD         ✓         
billion                   CD         CD         ✓         
from                      IN         IN         ✓         
July                      NNP        NNP        ✓         
's                        POS        POS        ✓         
$                         $          $          ✓         
7.6                       CD         CD         ✓         
billion                   CD         CD         ✓         
,                         ,          ,          ✓         
according                 VBG        VBG        ✓         
to                        TO         TO         ✓         
a                         DT         DT         ✓         
survey                    NN         NN         ✓         
by                        IN         IN         ✓         
MMS                       NNP        NNP        ✓         
International             NNP        NNP        ✓         
,                         ,          ,          ✓         
a                         DT         DT         ✓         
unit                      NN         NN         ✓         
of                        IN         IN         ✓         
McGraw-Hill               NNP        NNP        ✓         
Inc.                      NNP        NNP        ✓         
,                         ,          ,          ✓         
New                       NNP        NNP        ✓         
York                      NNP        NNP        ✓         
.                         .          .          ✓         

Thursday                  NNP        NNP        ✓         
's                        POS        POS        ✓         
report                    NN         NN         ✓         
on                        IN         IN         ✓         
the                       DT         DT         ✓         
September                 NNP        NNP        ✓         
consumer                  NN         NN         ✓         
price                     NN         NN         ✓         
index                     NN         NN         ✓         
is                        VBZ        VBZ        ✓         
expected                  VBN        VBN        ✓         
to                        TO         TO         ✓         
rise                      VB         VB         ✓         
,                         ,          ,          ✓         
although                  IN         IN         ✓         
not                       RB         RB         ✓         
as                        RB         RB         ✓         
sharply                   RB         RB         ✓         
as                        IN         IN         ✓         
the                       DT         DT         ✓         
0.9                       CD         CD         ✓         
%                         NN         NN         ✓         
gain                      NN         NN         ✓         
reported                  VBN        VBD        ✗ VBN->VBD
Friday                    NNP        NNP        ✓         
in                        IN         IN         ✓         
the                       DT         DT         ✓         
producer                  NN         NN         ✓         
price                     NN         NN         ✓         
index                     NN         NN         ✓         
.                         .          .          ✓         

That                      DT         DT         ✓         
gain                      NN         NN         ✓         
was                       VBD        VBD        ✓         
being                     VBG        VBG        ✓         
cited                     VBD        VBN        ✗ VBD->VBN
as                        IN         IN         ✓         
a                         DT         DT         ✓         
reason                    NN         NN         ✓         
the                       DT         DT         ✓         
stock                     NN         NN         ✓         
market                    NN         NN         ✓         
was                       VBD        VBD        ✓         
down                      IN         RB         ✗ IN->RB  
early                     RB         JJ         ✗ RB->JJ  
in                        IN         IN         ✓         
Friday                    NNP        NNP        ✓         
's                        POS        POS        ✓         
session                   NN         NN         ✓         
,                         ,          ,          ✓         
before                    IN         IN         ✓         
it                        PRP        PRP        ✓         
got                       VBD        VBD        ✓         
started                   VBN        VBN        ✓         
on                        IN         IN         ✓         
its                       PRP$       PRP$       ✓         
reckless                  JJ         JJ         ✓         
190-point                 JJ         JJ         ✓         
plunge                    NN         NN         ✓         
.                         .          .          ✓         

Economists                NNS        NNS        ✓         
are                       VBP        VBP        ✓         
divided                   VBN        VBN        ✓         
